,CountryRegion,CountryName,BirthRateValue,BirthRateRank,EnergyConsumptionValue,EnergyConsumptionRank,CDEmissionsValue,CDEmissionsRank,FertilityRateValue,FertilityRateRank,IPGrowthRateValue,IPGrowthRateRank,LaborForceValue,LaborForceRank,LifeExpectancyValue,LifeExpectancyRank,UnemploymentRateValue,UnemploymentRateRank
0,Africa,Niger,47.08,1,,191,,155,6.82,1,4.09,101,,55,60.09,218,0.75,4
1,Africa,Angola,41.8,2,,147,,84,5.83,2,-8.34,197,,42,62.11,214,8.53,142
2,Africa,Benin,41.15,3,,159,,126,5.43,6,9.12,35,,76,62.21,213,1.57,11
3,Africa,Mali,41.07,4,,172,,134,5.54,4,1.01,149,,68,62.41,211,7.72,130
4,Africa,Uganda,40.94,5,,183,,133,5.36,7,3.47,112,,37,68.96,180,2.94,33
5,Africa,Chad,40.45,6,,190,,162,5.46,5,0.3,156,,79,59.15,222,1.88,16
6,Africa,"Congo, Democratic Republic of the",40.08,7,,192,,151,5.63,3,7.78,54,,18,61.83,216,5.43,94
7,Africa,Somalia,37.98,8,,195,,176,5.31,9,3.5,111,,106,55.72,225,19.86,209
8,Africa,Mozambique,37.47,10,,162,,119,4.81,12,-0.42,160,,43,57.1,224,3.98,53
9,Africa,Liberia,36.64,11,,176,,166,4.79,13,16.25,11,,120,65.45,201,4.09,57
10,Africa,Guinea-Bissau,36.45,12,,184,,193,4.69,14,-0.7,165,,149,63.68,207,6.76,114
11,Africa,Guinea,35.67,13,,173,,149,4.85,11,3.9,105,,89,63.9,205,6.34,105
12,Africa,Cameroon,35.53,14,,167,,125,4.55,19,3.22,120,,50,63.27,210,3.87,50
13,South Asia,Afghanistan,35.46,15,,180,,117,4.62,15,-14.19,203,,56,53.65,227,13.28,182
14,Africa,Burundi,35.17,16,,194,,183,5.03,10,1.4,143,,77,67.42,190,1.79,14
15,Africa,Zambia,34.86,17,,149,,127,4.56,18,4.18,100,,65,66.26,197,13.03,178
16,Africa,Nigeria,34.19,18,,160,,40,4.62,16,-0.47,161,,10,61.33,217,9.79,155
17,Africa,Burkina Faso,33.57,19,,179,,139,4.27,22,8.73,39,,66,63.44,208,4.76,70
18,Africa,Sudan,33.47,20,,163,,91,4.6,17,-0.7,166,,47,67.12,193,19.81,208
19,Africa,Tanzania,33.3,21,,178,,101,4.39,20,6.5,67,,22,70.19,169,2.65,27
