,CountryName,BirthRateValue,BirthRateRank,CountryRegion
0,Niger,47.08,1,Africa
1,Angola,41.8,2,Africa
2,Benin,41.15,3,Africa
3,Mali,41.07,4,Africa
4,Uganda,40.94,5,Africa
5,Chad,40.45,6,Africa
6,"Congo, Democratic Republic of the",40.08,7,Africa
7,Somalia,37.98,8,Africa
8,South Sudan,37.69,9,Africa
9,Mozambique,37.47,10,Africa
10,Liberia,36.64,11,Africa
11,Guinea-Bissau,36.45,12,Africa
12,Guinea,35.67,13,Africa
13,Cameroon,35.53,14,Africa
14,Afghanistan,35.46,15,South Asia
15,Burundi,35.17,16,Africa
16,Zambia,34.86,17,Africa
17,Nigeria,34.19,18,Africa
18,Burkina Faso,33.57,19,Africa
19,Sudan,33.47,20,Africa
20,Tanzania,33.3,21,Africa
21,Zimbabwe,33.07,22,Africa
22,Central African Republic,32.79,23,Africa
23,Sierra Leone,32.2,24,Africa
24,Togo,31.86,25,Africa
25,"Congo, Republic of the",31.82,26,Africa
26,Senegal,31.51,27,Africa
27,Timor-Leste,30.94,28,East and Southeast Asia
28,Ethiopia,30.49,29,Africa
29,Equatorial Guinea,29.95,30,Africa
30,Papua New Guinea,29.03,31,East and Southeast Asia
31,"Gambia, The",28.78,32,Africa
32,Madagascar,28.68,33,Africa
33,Ghana,28.55,34,Africa
34,Cote d'Ivoire,28.3,35,Africa
35,Sao Tome and Principe,28.19,36,Africa
36,Mauritania,28.06,37,Africa
37,Malawi,27.94,38,Africa
38,Gaza Strip,27.67,39,Middle East
39,Eritrea,27.04,40,Africa
40,Pakistan,26.48,41,South Asia
41,Rwanda,26.44,42,Africa
42,Kenya,26.39,43,Africa
43,Gabon,26.03,44,Africa
44,Namibia,25.01,45,Africa
45,Iraq,24.7,46,Middle East
46,Yemen,24.64,47,Middle East
47,West Bank,24.42,48,Middle East
48,Eswatini,23.35,49,Africa
49,Lesotho,23.15,50,Africa
50,Syria,22.72,51,Middle East
51,Solomon Islands,22.71,52,Australia and Oceania
52,Tuvalu,22.7,53,Australia and Oceania
53,Jordan,22.58,54,Middle East
54,Comoros,22.52,55,Africa
55,Guatemala,22.34,56,Central America and the Caribbean
56,Philippines,22.28,57,East and Southeast Asia
57,Djibouti,22.25,58,Africa
58,Oman,22.11,59,Middle East
59,Marshall Islands,22.0,60,Australia and Oceania
60,Vanuatu,21.57,61,Australia and Oceania
61,Libya,21.56,62,Africa
62,Egypt,21.46,63,Africa
63,Belize,21.28,64,Central America and the Caribbean
64,Haiti,21.12,65,Central America and the Caribbean
65,Nauru,21.1,66,Australia and Oceania
66,Laos,20.9,67,East and Southeast Asia
67,Tajikistan,20.73,68,Central Asia
68,Tonga,20.31,69,Australia and Oceania
69,Botswana,20.28,70,Africa
70,Kiribati,20.12,71,Australia and Oceania
71,Kyrgyzstan,19.54,72,Central Asia
72,Cambodia,19.29,73,East and Southeast Asia
73,Samoa,19.21,74,Australia and Oceania
74,Bolivia,18.61,75,South America
75,Guam,18.56,76,Australia and Oceania
76,South Africa,18.56,77,Africa
77,Algeria,18.52,78,Africa
78,Cabo Verde,18.49,79,Africa
79,"Micronesia, Federated States of",18.39,80,Australia and Oceania
