,CountryName,CDEmissionsValue,CDEmissionsRank,CountryRegion
0,China,"10,773,248,000.0",1,East and Southeast Asia
1,United States,"5,144,361,000.0",2,North America
2,India,"2,314,738,000.0",3,South Asia
3,Russia,"1,848,070,000.0",4,Central Asia
4,Japan,"1,103,234,000.0",5,East and Southeast Asia
5,Germany,"726,881,000.0",6,Europe
6,"Korea, South","686,954,000.0",7,East and Southeast Asia
7,Iran,"646,038,000.0",8,Middle East
8,Canada,"612,084,000.0",9,North America
9,Saudi Arabia,"579,925,000.0",10,Middle East
10,Indonesia,"563,543,000.0",11,East and Southeast Asia
11,South Africa,"470,358,000.0",12,Africa
12,Mexico,"463,739,000.0",13,North America
13,Brazil,"456,670,000.0",14,South America
14,Australia,"417,870,000.0",15,Australia and Oceania
15,United Kingdom,"398,084,000.0",16,Europe
16,Turkey (Turkiye),"391,792,000.0",17,Middle East
17,France,"338,425,000.0",18,Europe
18,Italy,"332,041,000.0",19,Europe
19,Thailand,"305,273,000.0",20,East and Southeast Asia
20,Poland,"304,040,000.0",21,Europe
21,Spain,"280,624,000.0",22,Europe
22,Taiwan,"279,206,000.0",23,East and Southeast Asia
23,United Arab Emirates,"276,236,000.0",24,Middle East
24,Kazakhstan,"263,689,000.0",25,Central Asia
25,Malaysia,"254,764,000.0",26,East and Southeast Asia
26,Vietnam,"249,929,000.0",27,East and Southeast Asia
27,Singapore,"238,983,000.0",28,East and Southeast Asia
28,Egypt,"235,137,000.0",29,Africa
29,Netherlands,"214,416,000.0",30,Europe
30,Pakistan,"193,869,000.0",31,South Asia
31,Argentina,"193,205,000.0",32,South America
32,Ukraine,"185,686,000.0",33,Europe
33,Algeria,"151,633,000.0",34,Africa
34,Iraq,"143,479,000.0",35,Middle East
35,Philippines,"142,282,000.0",36,East and Southeast Asia
36,Belgium,"128,247,000.0",37,Europe
37,Qatar,"111,922,000.0",38,Middle East
38,Turkmenistan,"109,037,000.0",39,Central Asia
39,Nigeria,"104,494,000.0",40,Africa
40,Venezuela,"103,708,000.0",41,South America
41,Uzbekistan,"102,965,000.0",42,Central Asia
42,Czechia,"99,533,000.0",43,Europe
43,Bangladesh,"96,180,000.0",44,South Asia
44,Kuwait,"92,582,000.0",45,Middle East
45,Hong Kong,"92,493,000.0",46,East and Southeast Asia
46,Chile,"88,333,000.0",47,South America
47,Colombia,"81,007,000.0",48,South America
48,Oman,"76,321,000.0",49,Middle East
49,Greece,"70,163,000.0",50,Europe
50,Romania,"68,746,000.0",51,Europe
51,Austria,"65,540,000.0",52,Europe
52,Israel,"61,092,000.0",53,Middle East
