,CountryName,FertilityRateValue,FertilityRateRank,CountryRegion
0,Niger,6.82,1,Africa
1,Angola,5.83,2,Africa
2,"Congo, Democratic Republic of the",5.63,3,Africa
3,Mali,5.54,4,Africa
4,Chad,5.46,5,Africa
5,Benin,5.43,6,Africa
6,Uganda,5.36,7,Africa
7,South Sudan,5.32,8,Africa
8,Somalia,5.31,9,Africa
9,Burundi,5.03,10,Africa
10,Guinea,4.85,11,Africa
11,Mozambique,4.81,12,Africa
12,Liberia,4.79,13,Africa
13,Guinea-Bissau,4.69,14,Africa
14,Afghanistan,4.62,15,South Asia
15,Nigeria,4.62,16,Africa
16,Sudan,4.6,17,Africa
17,Zambia,4.56,18,Africa
18,Cameroon,4.55,19,Africa
19,Tanzania,4.39,20,Africa
20,"Congo, Republic of the",4.36,21,Africa
21,Burkina Faso,4.27,22,Africa
22,Senegal,4.27,23,Africa
23,Equatorial Guinea,4.26,24,Africa
24,Togo,4.23,25,Africa
25,Timor-Leste,4.21,26,East and Southeast Asia
26,Central African Republic,4.04,27,Africa
27,Ethiopia,3.99,28,Africa
28,Papua New Guinea,3.92,29,East and Southeast Asia
29,Zimbabwe,3.89,30,Africa
30,Sierra Leone,3.8,31,Africa
31,"Gambia, The",3.79,32,Africa
32,Ghana,3.66,33,Africa
33,Madagascar,3.62,34,Africa
34,Eritrea,3.58,35,Africa
35,Sao Tome and Principe,3.56,36,Africa
36,Cote d'Ivoire,3.53,37,Africa
37,Mauritania,3.53,38,Africa
38,Pakistan,3.46,39,South Asia
39,Gaza Strip,3.44,40,Middle East
40,Malawi,3.4,41,Africa
41,Rwanda,3.33,42,Africa
42,Gabon,3.31,43,Africa
43,Kenya,3.29,44,Africa
44,Iraq,3.25,45,Middle East
45,Libya,3.09,46,Africa
46,Yemen,3.01,47,Middle East
47,Namibia,2.98,48,Africa
48,Jordan,2.96,49,Middle East
49,West Bank,2.96,50,Middle East
50,Lesotho,2.92,51,Africa
51,Egypt,2.88,52,Africa
52,Solomon Islands,2.87,53,Australia and Oceania
53,Tuvalu,2.83,54,Australia and Oceania
54,Syria,2.8,55,Middle East
55,Comoros,2.78,56,Africa
56,Guam,2.78,57,Australia and Oceania
57,Philippines,2.78,58,East and Southeast Asia
58,Marshall Islands,2.76,59,Australia and Oceania
59,Tonga,2.76,60,Australia and Oceania
60,Oman,2.7,61,Middle East
61,Vanuatu,2.66,62,Australia and Oceania
62,Northern Mariana Islands,2.63,63,Australia and Oceania
63,Belize,2.62,64,Central America and the Caribbean
64,Guatemala,2.62,65,Central America and the Caribbean
65,Nauru,2.62,66,Australia and Oceania
66,Israel,2.56,67,Middle East
67,Algeria,2.51,68,Africa
68,Kyrgyzstan,2.5,69,Central Asia
69,Tajikistan,2.45,70,Central Asia
70,Eswatini,2.44,71,Africa
71,Haiti,2.43,72,Central America and the Caribbean
72,Samoa,2.42,73,Australia and Oceania
73,Botswana,2.39,74,Africa
74,Panama,2.39,75,Central America and the Caribbean
75,Laos,2.35,76,East and Southeast Asia
76,Bolivia,2.33,77,South America
77,Faroe Islands,2.29,78,Europe
78,Morocco,2.29,79,Africa
79,Fiji,2.26,80,Australia and Oceania
80,Cambodia,2.24,81,East and Southeast Asia
81,Kuwait,2.24,82,Middle East
82,"Micronesia, Federated States of",2.24,83,Australia and Oceania
83,Venezuela,2.22,84,South America
84,American Samoa,2.21,85,Australia and Oceania
85,Dominican Republic,2.21,86,Central America and the Caribbean
86,Kiribati,2.2,87,Australia and Oceania
87,Peru,2.2,88,South America
88,Argentina,2.18,89,South America
89,South Africa,2.18,90,Africa
90,Djibouti,2.15,91,Africa
91,Cabo Verde,2.13,92,Africa
92,Kazakhstan,2.11,93,Central Asia
93,India,2.1,94,South Asia
94,Bangladesh,2.09,95,South Asia
95,Cook Islands,2.07,96,Australia and Oceania
96,Guyana,2.06,97,South America
97,Jamaica,2.06,98,Central America and the Caribbean
98,El Salvador,2.05,99,Central America and the Caribbean
99,Vietnam,2.05,100,East and Southeast Asia
100,Ecuador,2.04,101,South America
101,France,2.03,102,Europe
102,Turkmenistan,2.03,103,Central Asia
103,Burma,2.02,104,East and Southeast Asia
104,Dominica,2.02,105,Central America and the Caribbean
105,Honduras,2.01,106,Central America and the Caribbean
106,Indonesia,2.01,107,East and Southeast Asia
107,Tunisia,2.0,108,Africa
108,Virgin Islands,2.0,109,Central America and the Caribbean
109,Sint Maarten,1.99,110,Central America and the Caribbean
110,"Bahamas, The",1.98,111,Central America and the Caribbean
111,Curacao,1.98,112,Central America and the Caribbean
112,Sri Lanka,1.98,113,South Asia
113,Antigua and Barbuda,1.95,114,Central America and the Caribbean
114,Colombia,1.95,115,South America
115,Iceland,1.95,116,Europe
116,Grenada,1.93,117,Central America and the Caribbean
117,Iran,1.93,118,Middle East
118,Turkey (Turkiye),1.93,119,Middle East
119,Ireland,1.92,120,Europe
120,Saudi Arabia,1.92,121,Middle East
121,Suriname,1.92,122,South America
122,Greenland,1.91,123,North America
123,Mongolia,1.91,124,East and Southeast Asia
124,Bermuda,1.9,125,North America
125,Gibraltar,1.9,126,Europe
126,"Korea, North",1.9,127,East and Southeast Asia
127,Kosovo,1.9,128,Europe
128,Nepal,1.9,129,South Asia
129,Qatar,1.9,130,Middle East
130,Isle of Man,1.89,131,Europe
131,Paraguay,1.89,132,South America
132,Azerbaijan,1.86,133,Middle East
133,Costa Rica,1.86,134,Central America and the Caribbean
