,CountryName,LaborForceValue,LaborForceRank,CountryRegion
0,China,"791,383,000",1,East and Southeast Asia
1,India,"476,670,000",2,South Asia
2,United States,"164,797,000",3,North America
3,Indonesia,"138,119,000",4,East and Southeast Asia
4,Brazil,"99,470,000",5,South America
5,Pakistan,"73,133,000",6,South Asia
6,Russia,"72,444,000",7,Central Asia
7,Bangladesh,"70,961,000",8,South Asia
8,Japan,"68,629,000",9,East and Southeast Asia
9,Nigeria,"65,116,000",10,Africa
10,Ethiopia,"56,664,000",11,Africa
11,Vietnam,"56,203,000",12,East and Southeast Asia
12,Mexico,"56,132,000",13,North America
13,Philippines,"44,242,000",14,East and Southeast Asia
14,Germany,"43,968,000",15,Europe
15,Thailand,"40,213,000",16,East and Southeast Asia
16,United Kingdom,"34,637,000",17,Europe
17,"Congo, Democratic Republic of the","33,382,000",18,Africa
18,Turkey (Turkiye),"32,554,000",19,Middle East
19,France,"31,132,000",20,Europe
20,Egypt,"30,179,000",21,Africa
21,Tanzania,"29,863,000",22,Africa
22,"Korea, South","28,674,000",23,East and Southeast Asia
23,Iran,"27,682,000",24,Middle East
24,Colombia,"26,137,000",25,South America
25,Italy,"25,012,000",26,Europe
26,Kenya,"23,915,000",27,Africa
27,Spain,"23,382,000",28,Europe
28,South Africa,"22,398,000",29,Africa
29,Burma,"22,122,000",30,East and Southeast Asia
30,Argentina,"21,206,000",31,South America
31,Canada,"21,017,000",32,North America
32,Ukraine,"20,463,000",33,Europe
33,Peru,"18,352,000",34,South America
34,Poland,"18,212,000",35,Europe
35,"Korea, North","17,160,000",36,East and Southeast Asia
36,Uganda,"16,995,000",37,Africa
37,Nepal,"16,884,000",38,South Asia
38,Malaysia,"16,740,000",39,East and Southeast Asia
39,Saudi Arabia,"16,060,000",40,Middle East
40,Madagascar,"14,813,000",41,Africa
41,Angola,"14,462,000",42,Africa
42,Mozambique,"14,137,000",43,Africa
43,Ghana,"14,095,000",44,Africa
44,Uzbekistan,"14,094,000",45,Central Asia
45,Australia,"13,786,000",46,Australia and Oceania
46,Sudan,"12,921,000",47,Africa
47,Algeria,"12,312,000",48,Africa
48,Morocco,"11,814,000",49,Africa
49,Cameroon,"11,810,000",50,Africa
50,Taiwan,"11,498,000",51,East and Southeast Asia
51,Iraq,"11,184,000",52,Middle East
52,Venezuela,"10,245,000",53,South America
53,Netherlands,"9,902,000",54,Europe
54,Niger,"9,411,000",55,Africa
55,Afghanistan,"9,390,000",56,South Asia
