,CountryName,UnemploymentRateValue,UnemploymentRateRank,CountryRegion
0,Cocos (Keeling) Islands,0.1,1,Australia and Oceania
1,Qatar,0.26,2,Middle East
2,Cambodia,0.61,3,East and Southeast Asia
3,Niger,0.75,4,Africa
4,Falkland Islands (Islas Malvinas),1.0,5,South America
5,Gibraltar,1.0,6,Europe
6,Solomon Islands,1.03,7,Australia and Oceania
7,Isle of Man,1.1,8,Europe
8,Laos,1.26,9,East and Southeast Asia
9,Thailand,1.42,10,East and Southeast Asia
10,Benin,1.57,11,Africa
11,Rwanda,1.61,12,Africa
12,Palau,1.7,13,Australia and Oceania
13,Burundi,1.79,14,Africa
14,Bahrain,1.87,15,Middle East
15,Chad,1.88,16,Africa
16,Monaco,2.0,17,Europe
17,Tokelau,2.0,18,Australia and Oceania
18,Burma,2.17,19,East and Southeast Asia
19,Vietnam,2.17,20,East and Southeast Asia
20,Vanuatu,2.18,21,Australia and Oceania
21,Faroe Islands,2.2,22,Europe
22,Liechtenstein,2.4,23,Europe
23,Philippines,2.41,24,East and Southeast Asia
24,"Korea, North",2.59,25,East and Southeast Asia
25,Madagascar,2.59,26,Africa
26,Tanzania,2.65,27,Africa
27,Papua New Guinea,2.75,28,East and Southeast Asia
28,Cuba,2.76,29,Central America and the Caribbean
29,Japan,2.8,30,East and Southeast Asia
30,Czechia,2.89,31,Europe
31,British Virgin Islands,2.9,32,Central America and the Caribbean
32,Uganda,2.94,33,Africa
33,Seychelles,3.0,34,Africa
34,Macau,3.01,35,East and Southeast Asia
35,Oman,3.12,36,Middle East
36,United Arab Emirates,3.36,37,Middle East
37,Poland,3.37,38,Europe
38,Cote d'Ivoire,3.47,39,Africa
39,Malta,3.5,40,Europe
40,"Korea, South",3.53,41,East and Southeast Asia
41,Germany,3.54,42,Europe
42,Guatemala,3.57,43,Central America and the Caribbean
43,Singapore,3.62,44,East and Southeast Asia
44,Ethiopia,3.69,45,Africa
45,Andorra,3.7,46,Europe
46,Kuwait,3.71,47,Middle East
47,Senegal,3.72,48,Africa
